positive,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,death,hospitalized,totalTestEncountersViral,positiveIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,is_holiday,is_long_weekend,Ridership,hospitalizedC,sevenDayAvg_newCases,sevenDayAvg_hospitalize,sevenDayAvg_death,sevenDayAvg_testResult,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5347055,0,0,0,0,0,2020-03-02
1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,5498556,0,0,0,0,0,2020-03-03
1,10,0,0,0,0,0,10,0,25,9,1,0,0,0,0,5515945,0,0,0,0,0,2020-03-04
3,30,0,0,0,0,0,30,2,27,20,3,0,0,0,0,5513656,0,0,0,0,0,2020-03-05
25,122,0,0,0,0,0,122,22,261,92,25,0,0,0,0,5204732,0,0,0,0,0,2020-03-06
36,188,0,0,0,0,0,188,11,272,66,36,0,0,0,0,2817082,0,0,0,0,0,2020-03-07
60,388,0,0,0,0,0,388,24,60,200,60,0,0,0,0,2122328,0,0,0,0,0,2020-03-08
88,695,0,0,0,0,0,695,28,88,307,88,0,0,0,0,4989635,0,13,0,0,99,2020-03-09
151,1096,0,0,0,0,0,1096,63,151,401,151,0,0,0,0,4883623,0,21,0,0,156,2020-03-10
195,1521,0,0,0,0,0,1521,44,195,425,195,0,0,0,0,4712462,0,28,0,0,216,2020-03-11
251,2074,0,0,0,0,0,2074,56,251,553,251,0,0,0,0,4163674,0,35,0,0,292,2020-03-12
353,2836,0,0,0,0,0,2836,102,353,762,353,0,0,0,0,3496765,0,47,0,0,388,2020-03-13
517,4126,0,0,0,0,0,4126,164,517,1290,517,0,0,0,0,1672800,0,69,0,0,563,2020-03-14
648,5419,0,0,0,3,0,5419,131,648,1293,648,3,0,0,0,1159079,0,84,0,0,719,2020-03-15
942,7355,0,0,0,7,0,7355,294,942,1936,942,4,0,0,0,2184296,0,122,0,1,951,2020-03-16
1374,10262,325,0,0,7,0,10262,432,1374,2907,1374,0,0,0,0,1793359,0,175,0,1,1309,2020-03-17
2383,14815,416,0,0,12,0,14815,1009,2383,4553,2383,5,0,0,0,1629413,0,313,0,2,1899,2020-03-18
4152,22513,617,0,0,12,0,22513,1769,4152,7698,4152,0,0,0,0,1425564,0,557,0,2,2920,2020-03-19
7102,32637,1042,0,0,35,0,32637,2950,7102,10124,7102,23,0,0,0,1312249,0,964,0,5,4257,2020-03-20
10356,45724,1436,1531,0,44,1531,45724,3254,10356,13087,10356,9,1531,0,0,620662,1531,1406,219,6,5943,2020-03-21
15168,61753,2043,2354,0,114,2354,61753,4812,15168,16029,15168,70,823,0,0,409364,2354,2074,336,16,8048,2020-03-22
20875,78565,2629,3125,0,114,3125,78565,5707,20875,16812,20875,0,771,0,0,711138,3125,2848,446,15,10173,2020-03-23
25665,91517,3343,4041,0,210,4041,91517,4790,25665,12952,25665,96,916,0,0,743314,4041,3470,577,29,11608,2020-03-24
30810,103659,4079,5126,0,285,5126,103659,5145,30810,12142,30810,75,1085,0,0,691604,5126,4061,732,39,12692,2020-03-25
37258,122310,5327,6921,1290,385,6921,122310,6448,37258,18651,37258,100,1795,0,0,681923,6921,4729,989,53,14257,2020-03-26
44637,138625,6481,8732,1583,519,8732,138625,7379,44637,16315,44637,134,1811,0,0,658312,8732,5362,1247,69,15141,2020-03-27
52318,156069,7328,10454,1755,728,10454,156069,7681,52318,17444,52318,209,1722,0,0,332993,10454,5995,1275,98,15764,2020-03-28
59513,172470,8503,12695,2037,965,12695,172470,7195,59513,16401,59513,237,2241,0,0,264119,12695,6335,1477,122,15817,2020-03-29
66497,186585,9517,14578,2352,1218,14578,186585,6984,66497,14115,66497,253,1883,0,0,546355,14578,6517,1636,158,15431,2020-03-30
75795,205233,10929,17085,2710,1550,17085,205233,9298,75795,18648,75795,332,2507,0,0,509149,17085,7161,1863,191,16245,2020-03-31
83712,220934,12226,19929,3022,1941,19929,220934,7917,83712,15701,83712,391,2844,0,0,514201,19929,7557,2115,237,16754,2020-04-01
92381,238965,13383,22786,3396,2373,22786,238965,8669,92381,18031,92381,432,2857,0,0,486468,22786,7875,2266,284,16665,2020-04-02
102863,260520,14810,26210,3731,2935,26210,260520,10482,102863,21555,102863,562,3424,0,0,484200,26210,8318,2497,345,17414,2020-04-03
113704,283621,15905,29471,4126,3565,29471,283621,10841,113704,23101,113704,630,3261,0,0,282703,29471,8769,2717,405,18222,2020-04-04
122031,302280,16479,32293,4376,4159,32293,302280,8327,122031,18659,122031,594,2822,0,0,227603,32293,8931,2800,456,18544,2020-04-05
130689,320811,16837,34377,4504,4758,34377,320811,8658,130689,18531,130689,599,2084,0,0,446273,34377,9170,2828,506,19175,2020-04-06
138863,340058,17493,36932,4539,5489,36932,340058,8174,138863,19247,138863,731,2555,0,0,435718,36932,9010,2835,563,19261,2020-04-07
149316,365153,18079,39982,4841,6268,39982,365153,10453,149316,25095,149316,779,3050,0,0,428206,39982,9372,2865,618,20603,2020-04-08
159937,391549,18279,42852,4925,7067,42852,391549,10621,159937,26396,159937,799,2870,0,0,405325,42852,9651,2867,671,21798,2020-04-09
170512,417885,18569,45768,4908,7844,45768,417885,10575,170512,26336,170512,777,2916,0,0,400947,45768,9664,2794,701,22481,2020-04-10
180458,440980,18654,48297,5009,8627,48297,440980,9946,180458,23095,180458,783,2529,0,0,257467,48297,9536,2689,723,22480,2020-04-11
188694,461601,18707,50919,5198,9385,50919,461601,8236,188694,20621,188694,758,2622,0,0,198693,50919,9523,2661,747,22760,2020-04-12
195031,478357,18825,52936,5156,10056,52936,478357,6337,195031,16756,195031,671,2017,0,0,363961,52936,9192,2651,757,22507,2020-04-13
202208,499143,18697,54653,5225,10834,54653,499143,7177,202208,20786,202208,778,1717,0,0,430946,54653,9049,2532,764,22726,2020-04-14
213779,526012,18335,56968,5205,11586,56968,526012,11571,213779,26869,213779,752,2315,0,0,419851,56968,9209,2427,760,22980,2020-04-15
222284,550579,17735,59052,5071,12192,59052,550579,8505,222284,24567,222284,606,2084,0,0,421013,59052,8907,2314,732,22719,2020-04-16
229642,573223,17316,61120,5039,12822,61120,573223,7358,229642,22644,229642,630,2068,0,0,433106,61120,8447,2193,711,22191,2020-04-17
236732,596532,16967,63103,4996,13362,63103,596532,7090,236732,23309,236732,540,1983,0,0,254792,63103,8039,2115,676,22222,2020-04-18
242786,617555,16213,64550,4878,13869,64550,617555,6054,242786,21023,242786,507,1447,0,0,224751,64550,7727,1947,641,22279,2020-04-19
247512,633861,16103,65969,4814,14347,65969,633861,4726,247512,16306,247512,478,1419,0,0,438622,65969,7497,1862,613,22215,2020-04-20
251690,649325,16135,67271,4729,14828,67271,649325,4178,251690,15464,251690,481,1302,0,0,422860,67271,7069,1803,571,21455,2020-04-21
257216,669982,15599,68773,4690,15302,68773,669982,5526,257216,20657,257216,474,1502,0,0,459574,68773,6205,1686,531,20567,2020-04-22
263460,695920,15021,70182,4597,15740,70182,695920,6244,263460,25938,263460,438,1409,0,0,454300,70182,5882,1590,507,20763,2020-04-23
271590,730656,14258,71373,4540,16162,71373,730656,8130,271590,34736,271590,422,1191,0,0,444644,71373,5993,1465,477,22490,2020-04-24
282143,777568,13524,72444,4410,16599,72444,777568,10553,282143,46912,282143,437,1071,0,0,295836,72444,6487,1334,462,25862,2020-04-25
288045,805350,12839,73540,4284,16966,73540,805350,5902,288045,27782,288045,367,1096,0,0,219096,73540,6466,1284,442,26828,2020-04-26
291996,826095,12819,74602,4157,17303,74602,826095,3951,291996,20745,291996,337,1062,0,0,463700,74602,6355,1233,422,27462,2020-04-27
295106,844994,12646,75362,4071,17638,75362,844994,3110,295106,18899,295106,335,760,0,0,490073,75362,6202,1156,401,27953,2020-04-28
299691,872481,12159,76450,3923,18015,76450,872481,4585,299691,27487,299691,377,1088,0,0,478589,76450,6068,1097,388,28928,2020-04-29
304372,900636,11598,77400,3769,18321,77400,900636,4681,304372,28155,304372,306,950,0,0,466633,77400,5845,1031,369,29245,2020-04-30
308314,927438,10993,78224,3640,18610,78224,927438,3942,308314,26802,308314,289,824,0,0,495312,78224,5246,979,350,28112,2020-05-01
312977,959017,10350,78942,3501,18909,78942,959017,4663,312977,31579,312977,299,718,0,0,326354,78942,4405,928,330,25921,2020-05-02
316415,985911,9786,79768,3430,19189,79768,985911,3438,316415,26894,316415,280,826,0,0,259199,79768,4053,890,318,25794,2020-05-03
318953,1007310,9647,80376,3330,19415,80376,1007310,2538,318953,21399,318953,226,608,0,0,512763,80376,3851,825,302,25888,2020-05-04
321192,1028899,9600,80918,3281,19645,80918,1028899,2239,321192,21589,321192,230,542,0,0,522979,80918,3727,794,287,26272,2020-05-05
323978,1055921,9179,81570,3098,19877,81570,1055921,2786,323978,27022,323978,232,652,0,0,509646,81570,3470,731,266,26206,2020-05-06
327469,1089916,8665,82197,2976,20828,82197,1089916,3491,327469,33995,327469,951,627,0,0,536003,82197,3300,685,358,27040,2020-05-07
330407,1121543,8196,82730,2811,21045,82730,1121543,2938,330407,31627,330407,217,533,0,0,526865,82730,3156,644,348,27729,2020-05-08
333122,1153768,7776,83285,2664,21271,83285,1153768,2715,333122,32225,333122,226,555,0,0,317372,83285,2878,620,337,27822,2020-05-09
335395,1182998,7262,83761,2488,21478,83761,1182998,2273,335395,29230,335395,207,476,0,0,272353,83761,2711,570,327,28155,2020-05-10
337055,1204650,7226,84194,2450,21640,84194,1204650,1660,337055,21652,337055,162,433,0,0,521702,84194,2586,545,318,28191,2020-05-11
338485,1225113,7063,84489,2375,21845,84489,1225113,1430,338485,20463,338485,205,295,0,0,554286,84489,2470,510,314,28031,2020-05-12
340661,1258907,6946,85008,2308,22013,85008,1258907,2176,340661,33794,340661,168,519,0,0,566333,85008,2383,491,305,28998,2020-05-13
343051,1298757,6706,85454,2223,22170,85454,1298757,2390,343051,39850,343051,157,446,0,0,568315,85454,2226,465,192,29834,2020-05-14
345813,1338048,6394,85782,2156,22304,85782,1338048,2762,345813,39291,345813,134,328,0,0,588784,85782,2201,436,180,30929,2020-05-15
348232,1378717,6220,86207,2077,22478,86207,1378717,2419,348232,40669,348232,174,425,0,0,361329,86207,2159,417,172,32136,2020-05-16
350121,1413396,5897,86575,1981,22619,86575,1413396,1889,350121,34679,350121,141,368,0,0,287755,86575,2104,402,163,32914,2020-05-17
351371,1439557,5840,86901,1908,22729,86901,1439557,1250,351371,26161,351371,110,326,0,0,596505,86901,2045,387,156,33558,2020-05-18
352845,1467739,5818,87169,1836,22843,87169,1467739,1474,352845,28182,352845,114,268,0,0,611951,87169,2051,383,143,34661,2020-05-19
354370,1505836,5570,87459,1761,22976,87459,1505836,1525,354370,38097,354370,133,290,0,0,624793,87459,1958,350,138,35276,2020-05-20
356458,1555055,5187,87638,1695,23083,87638,1555055,2088,356458,49219,356458,107,179,0,0,630367,87638,1915,312,130,36614,2020-05-21
358154,1600793,4844,87843,1581,23195,87843,1600793,1696,358154,45738,358154,112,205,0,0,634929,87843,1763,294,127,37535,2020-05-22
359926,1652061,4642,88083,1502,23282,88083,1652061,1772,359926,51268,359926,87,240,0,0,336250,88083,1671,268,115,39049,2020-05-23
361515,1699826,4393,88324,1406,23391,88324,1699826,1589,361515,47765,361515,109,241,0,0,320376,88324,1628,250,110,40919,2020-05-24
362764,1739449,4348,88554,1366,23488,88554,1739449,1249,362764,39623,362764,97,230,1,1,394359,88554,1628,236,108,42842,2020-05-25
363836,1774128,4265,88686,1273,23564,88686,1774128,1072,363836,34679,363836,76,132,0,0,657939,88686,1570,217,103,43770,2020-05-26
364965,1811544,4208,88866,1261,23643,88866,1811544,1129,364965,37416,364965,79,180,0,0,675705,88866,1514,201,95,43673,2020-05-27
366733,1876789,4010,89042,1219,23722,89042,1876789,1768,366733,65245,366733,79,176,0,0,659248,89042,1468,201,91,45962,2020-05-28
368284,1944130,3781,89194,1164,23780,89194,1944130,1551,368284,67341,368284,58,152,0,0,658353,89194,1447,193,84,49048,2020-05-29
369660,2005381,3619,89400,1124,23848,89400,2005381,1376,369660,61251,369660,68,206,0,0,426755,89400,1391,188,81,50474,2020-05-30
370770,2063825,3436,89590,1050,23905,89590,2063825,1110,370770,58444,370770,57,190,0,0,344428,89590,1322,181,73,52000,2020-05-31
371711,2113777,3331,89703,999,23959,89703,2113777,941,371711,49952,371711,54,113,0,0,688520,89703,1278,164,67,53475,2020-06-01
373040,2167831,3121,89861,907,24023,89861,2167831,1329,373040,54054,373040,64,158,0,0,695276,89861,1315,168,66,56243,2020-06-02
374085,2229473,2978,89995,865,24079,89995,2229473,1045,374085,61642,374085,56,134,0,0,683037,89995,1303,161,62,59704,2020-06-03
375133,2293032,2849,89995,832,24133,89995,2293032,1048,375133,63559,375133,54,0,0,0,728018,89995,1200,136,59,59463,2020-06-04
376208,2359512,2728,89995,758,24175,89995,2359512,1075,376208,66480,376208,42,0,0,0,704825,89995,1132,114,56,59340,2020-06-05
377316,2437407,2603,89995,720,24212,89995,2437407,1108,377316,77895,377316,37,0,0,0,464207,89995,1094,85,52,61718,2020-06-06
378097,2497842,2427,89995,704,24259,89995,2497842,781,378097,60435,378097,47,0,0,0,378085,89995,1047,58,51,62002,2020-06-07
378799,2555896,2371,89995,678,24299,89995,2555896,702,378799,58054,378799,40,0,0,0,806138,89995,1013,42,49,63160,2020-06-08
379482,2605869,2344,89995,663,24348,89995,2605869,683,379482,49973,379482,49,0,0,0,843968,89995,920,19,46,62577,2020-06-09
380156,2668166,2190,89995,630,24404,89995,2668166,674,380156,62297,380156,56,0,0,0,858782,89995,867,0,46,62670,2020-06-10
380892,2729005,2042,89995,581,24442,89995,2729005,736,380892,60839,380892,38,0,0,0,819873,89995,823,0,44,62282,2020-06-11
381714,2801400,1898,89995,552,24495,89995,2801400,822,381714,72395,381714,53,0,0,0,898314,89995,787,0,46,63127,2020-06-12
382630,2872240,1734,89995,517,24527,89995,2872240,916,382630,70840,382630,32,0,0,0,545333,89995,759,0,45,62119,2020-06-13
383324,2934599,1657,89995,499,24551,89995,2934599,694,383324,62359,383324,24,0,0,0,430446,89995,747,0,42,62394,2020-06-14
383944,2991210,1608,89995,470,24579,89995,2991210,620,383944,56611,383944,28,0,0,0,898925,89995,735,0,40,62188,2020-06-15
384575,3051778,1538,89995,449,24608,89995,3051778,631,384575,60568,384575,29,0,0,0,934545,89995,728,0,37,63701,2020-06-16
385142,3111119,1479,89995,431,24629,89995,3111119,567,385142,59341,385142,21,0,0,0,950318,89995,712,0,32,63279,2020-06-17
385760,3179660,1358,89995,388,24661,89995,3179660,618,385760,68541,385760,32,0,0,0,944318,89995,695,0,31,64379,2020-06-18
386556,3258963,1284,89995,359,24686,89995,3258963,796,386556,79303,386556,25,0,0,0,988680,89995,692,0,27,65366,2020-06-19
387272,3327793,1220,89995,335,24710,89995,3327793,716,387272,68830,387272,24,0,0,0,576097,89995,663,0,26,65079,2020-06-20
387936,3395319,1142,89995,332,24725,89995,3395319,664,387936,67526,387936,15,0,0,0,449497,89995,659,0,25,65817,2020-06-21
388488,3452099,1122,89995,330,24739,89995,3452099,552,388488,56780,388488,14,0,0,0,1002073,89995,649,0,23,65841,2020-06-22
389085,3500808,1104,89995,302,24766,89995,3500808,597,389085,48709,389085,27,0,0,0,1053005,89995,644,0,23,64147,2020-06-23
389666,3551952,1071,89995,290,24782,89995,3551952,581,389666,51144,389666,16,0,0,0,1070527,89995,646,0,22,62976,2020-06-24
390415,3619594,996,89995,270,24800,89995,3619594,749,390415,67642,390415,18,0,0,0,1081006,89995,665,0,20,62848,2020-06-25
391220,3681317,951,89995,244,24814,89995,3681317,805,391220,61723,391220,14,0,0,0,1104497,89995,666,0,18,60336,2020-06-26
391923,3754579,908,89995,230,24830,89995,3754579,703,391923,73262,391923,16,0,0,0,616084,89995,664,0,17,60969,2020-06-27
392539,3816485,869,89995,229,24835,89995,3816485,616,392539,61906,392539,5,0,0,0,536488,89995,658,0,16,60167,2020-06-28
392930,3862913,853,89995,216,24842,89995,3862913,391,392930,46428,392930,7,0,0,0,1103086,89995,635,0,15,58688,2020-06-29
393454,3914938,891,89995,217,24855,89995,3914938,524,393454,52025,393454,13,0,1,1,1115510,89995,624,0,13,59161,2020-06-30
